상품명,Cupping Note 향미,Cupping Note 산미,Cupping Note 단맛,Cupping Note 바디감,Cupping Note 밸런스,Roasting Point,origin,text,로스터리,평점,리뷰 수
에티오피아 시다모G4,6.0,7,6,6,6.0,5.5,에티오피아,"묵직한 바디감과 약간의 와인 맛속에 베리류의 산미를 가지고 있는 커피이며, 풍부한 커피 향미를 느낄 수 있습니다.",레스트빈,,
로얄 블렌드,6.0,6,6,7,6.0,5.5,"브라질, 인도네시아, 베트남","고소한 향미와 맛, 쌉싸름한 맛이 어울러져 누구나 접할 수 있는 블렌딩 커피입니다.",레스트빈,,
에티오피아 예가체프 G4,7.0,6,6,6,6.0,5.5,에티오피아,각종 베리류의 향미와 차를 먹는 듯한 가벼운 바디와 깔끔한 후미(뒷맛)을 가지고 있으며 은은한 단맛을 느낄 수 있습니다.,레스트빈,,
파푸아 뉴기니 A,7.0,7,6,7,7.0,5.5,파푸아 뉴기니,"부드럽고 깔끔한 풍미와 섬세한 향미, 감칠맛이 좋은 고급스러운 커피입니다.",레스트빈,,
인도 몬순 말라바 AA,6.0,6,7,8,7.0,5.5,인도,은은하게 느껴지는 다크초콜릿의 단맛을 느낄 수 있는 커피입니다.,레스트빈,,
과테말라 SHB,7.0,7,7,7,8.0,5.5,과테말라,월넛과 같은 견과류의 고소한 향미와 카라멜의 단맛이 어우러진 커피입니다.,레스트빈,,
멕시코 알투라 SHG 워시드,7.0,7,7,8,7.0,5.5,멕시코,"가벼운 바디감과 낮은 산미, 커피 특유의 단맛으로 백포도주를 연상케하여 처음으로 커피를 접하시는 분들에게 커피를 시작하는 계기를 만들어주는 커피입니다.",레스트빈,,
에티오피아 예가체프 G2 워시드,8.0,8,6,7,7.0,5.5,에티오피아,"꽃내음이 가득한 아로마, 달콤한 산미, 부드러운 바디감으로 마시고 난 후 여운이 남는 커피입니다.",레스트빈,,
콜롬비아 슈프리모 후일라,7.0,6,6,6,6.0,5.5,콜롬비아,견과류의 고소함과 크림같이 부드러운 목넘김을 지닌 커피로써 누구나 부담없이 즐길 수 있는 커피입니다.,레스트빈,,
인도네시아 만델링 G1,7.0,6,6,8,7.0,5.5,인도네시아,묵직한 바디감을 더해주는 커피입니다.,레스트빈,,
온두라스 SHG,7.0,7,7,7,7.0,5.5,온두라스,다크 초콜릿의 단맛으로 잘 조화된 커피입니다.,레스트빈,,
엘살바도르 팬시 SHG 워시드,7.0,7,7,8,7.0,5.5,엘살바도르,마일드하면서도 입안에서 도는 기분 좋은 커피 향미와 달콤한 목넘김이 좋은 커피입니다.,레스트빈,,
스페셜 블렌드,7.0,7,8,8,7.0,5.5,"콜롬비아, 멕시코, 브라질",오렌지를 연상케하는 적절한 산미와 단맛이 잘 어우러져 풍부한 커피 향미를 느낄 수 있는 블렌딩 커피입니다.,레스트빈,,
니카라과 SHG,7.0,7,7,8,7.0,5.5,니카라과,"다양한 향미와 우수한 바디감, 깔끔한 에프터테이스트(뒷맛)으로 니카라과만의 특징을 지닌 커피입니다.",레스트빈,,
코스타리카 SHB,7.0,6,7,7,7.0,5.5,코스타리카,"오렌지, 레몬의 산미와 균형감있는 바디감으로 누구나 부담없이 즐길 수 있는 커피입니다.",레스트빈,,
탄자니아 킬리만자로 AA,7.0,8,7,7,7.0,5.5,탄자니아,견과류 향기가 두드러지는 커피로 커피 애호가들 사이에서 큰 인기를 얻고 있습니다.,레스트빈,,
케냐 AA,8.0,8,6,8,7.0,5.5,케냐,너트류의 고소함을 더하여 풍부한 커피향미를 느낄 수 있는 커피입니다.,레스트빈,,
모닝 블렌드,6.0,6,5,5,5.0,5.5,"브라질, 온두라스, 콜롬비아",100% 아라비카 원두로 블렌딩하여 깊은 향과 고소하면서도 약간의 단맛과 깊고 부드러운 맛이 특징이기에 모닝 커피로 제격입니다.,레스트빈,,
문 블렌드,7.0,7,7,7,7.0,5.5,"콜롬비아, 브라질, 에디오피아, 과테말라",각 산지별 원두 고유의 맛과 향미를 살려 4가지 싱글 오리진 원두를 최상의 비율로 블렌딩한 커피입니다.,레스트빈,,
스타 블렌드,6.0,6,5,5,6.0,5.5,"에티오피아, 브라질, 베트남",고소하면서 쌉쌀한 맛과 은은한 산미까지 더해져 무난한 맛으로 대중적으로 인기있는 커피입니다.,레스트빈,,
바리스타 블렌드,6.0,6,5,6,6.0,5.5,"브라질, 과테말라, 파푸아 뉴기니",고소함과 단맛의 조화로 아라비카종의 원도 본연의 맛과 향을 느낄 수 있는 블렌딩 커피입니다.,레스트빈,,
브라질 블렌드,6.0,6,6,5,6.0,5.5,"브라질, 온두라스, 베트남",아몬드 향미와 은은한 단맛과 고소하면서 산미까지 더해져 무난한 맛으로 대중적으로 인기있는 커피입니다.,레스트빈,,
에티오피아 블렌드,6.0,6,5,6,6.0,5.5,"에티오피아, 베트남, 베트남","고소하면서 적당한 산미와 쌉싸름한 맛이 어우러져, 함께 즐기실 수 있는 커피입니다.",레스트빈,,
콜롬비아 블렌드,6.0,6,5,5,6.0,5.5,"콜롬비아, 브라질, 베트남",목넘김이 부드러우면서 아몬드 같은 향미와 구수하면서 은은한 단맛이 느껴지는 커피입니다.,레스트빈,,
디카페인 에티오피아 짐마,8.0,8,8,6,8.0,5.5,에티오피아,"청포도의 가벼운 산미와 깨끗한 애프터가 특징이며, 무겁지 않은 바디감으로 부드러운 목넘김이 좋은 커피.",레스트빈,,
디카페인 콜롬비아,8.0,8,7,6,8.0,5.5,콜롬비아,살구의 감칠맛과 에이드의 새콤달콤한 향미가 특징입니다. 카라멜의 단맛이 좋고 전체적인 밸런스가 잘 잡힌 커피.,레스트빈,,
디카페인 과테말라,8.0,7,7,7,8.0,5.5,과테말라,레몬 계열의 밝은 향미와 아몬드의 고소함이 특징입니다. 깨끗한 향미와 당밀계열의 단맛이 있는 커피.,레스트빈,,
디카페인 브라질 산토스,7.0,7,8,7,8.0,5.5,브라질,감귤류의 신맛과 카라멜의 단맛이 특징입니다. 볶은 땅콩의 고소한 향미를 가진 커피,레스트빈,,
진양조,,2,6,6,,6.0,"브라질, 인도, 콜롬비아",진한 풍미가 좋은 다크로스팅 블렌드. 호두의 너티함을 베이스로 옥수수와 같은 구수한 후미가 인상적인 커피입니다.,스탠딩커피,,
클래식 에스프레소,,2,8,10,,7.0,"브라질, 과테말라, 콜롬비아",카카오를 씹은 듯 쌉싸름한 맛 뒤에 고소한 달콤함이 어우러진 묵직한 커피입니다.,리플렉트 커피 로스터스,,
오닉스 블렌드,,4,8,8,,6.0,"브라질, 콜롬비아, 인도네시아","짙은 바디감과 고소함이 잘 느껴집니다. 흑설탕 같은 단 맛이 좋으며 마무리는 깔끔합니다. 따뜻한 커피는 식어서도 풍미가 좋으며, 차가운 커피는 희석되도 그 힘을 잘 유지합니다.",필리그리커피,,
디카페인 올 데이 블렌드,,4,6,10,,7.0,"과테말라, 브라질, 에티오피아","남녀노소 누구나 좋아할 수 밖에 없는, 가을의 향기가 느껴지는 고소하고 마일드한 국민커피입니다.",디카커피랩,,
엘 카미노,,2,8,6,,6.0,"브라질, 콜롬비아, 과테말라","길을 잃고 헤매이는 이들에게 표지판이 되고 싶은 피어의 바램을 담은 커피입니다. 첫모금에 느껴지는 달콤한 초콜릿의 풍미와 후미에 남는 은은한 견과류의 고소함, 클린 한 질감을 가지고 있는 미디엄 다크 로스팅 타입의 커피입니다. 호불호가 비교적 적고, 모두가 편안하게 즐길 수 있는 맛을 지향하고 있습니다.",피어 커피로스터스,,
디카페인 에티오피아 예가체프 워카 내추럴 스위스 워터,,4,8,8,,7.0,에티오피아,센터커피는 디카페인은 맛이 없다라는 편견을 깨기위해 퀄리티 좋은 생두 선별에 오직 물로 카페인을 추출하는 스위스 워터 방식의 디카페인 공정을 거친 커피를 센터커피만의 로스팅 기법으로 풀어내었습니다. 커피 본연의 맛과 향을 최대한 살린 센터커피 디카페인 커피는 카페인 섭취에 부담을 느끼시는 분들이 편하고 부담 없이 드실 수 있습니다. 캐러멜의 단맛이...,센터 커피,,
데일리스윗,,4,8,8,,6.0,"브라질, 과테말라",중남미 블렌딩으로 깊이 있는 단맛과 초콜렛티함이 조화롭게 어우러진 하우스 블렌드 입니다. 편안한 커피에 초점을 두고 매일 마셔도 기분좋은 달콤함을 담아냈습니다.,언더프레셔,,
비터스윗 라이프 에디션1,,4,8,8,,6.0,"인도, 에티오피아, 콜롬비아","커피몽타주의 첫번째 에스프레소 블렌딩, 'A Bittersweet Life' 이름에서처럼 쓴맛과 단맛의 조화가 매력적인 블렌딩입니다. 인도와 콜롬비아, 아프리카 생두의 맛을 조화시켜 에스프레소의 풍부한 바디감, 달콤함, 그리고 쌉쌀하면서 달콤한 Aftertaste를 맛보실 수 있습니다. 특히, 우유가 들어간 Variation 음료에 강점이 있는 블...",커피 몽타주,,
뉴커먼,,4,6,8,,6.0,"콜롬비아, 코스타리카, 브라질",견과류의 고소함을 베이스로 깊은 바디감이 잘 어울리는 균형감이 좋은 블렌드입니다. * 이일용 로스터의 한마디 * 산미가 아예 없진 않고 아이스 아메리카노로 마셨을 때 전체적인 밸런스를 받쳐주는 정도의 긍정적인 산미가 있습니다. 뜨거울 때는 느껴지는 부분이 미비합니다. 5년간 스테디 셀러로 판매되고 있는 뉴커먼 블렌드는 저희 커넥츠커피가 자신있게 추천...,커넥츠커피,,
나이트아울 블렌드,,4,10,8,,5.0,"과테말라, 콜롬비아",갈색이 떠오르는 단맛이 풍부한 블렌드 입니다. 매일 마셔도 좋은 단골 고객을 위한 커피 입니다.,앤써커피,,
W 블렌드,,2,4,10,,7.0,"베트남, 브라질, 인도","깊은 바디감과 후미에 중점을 둔 강배전의 블렌딩 원두입니다. 다크초콜릿과 스모크 향이 만나서, 깊은 바디감을 만들며 카카오 닙스의 쓴맛을 가진 것이 특징입니다.",리플로우 커피 로스터스,,
쏘굿블렌드,,2,10,8,,6.0,"산토스, 시다모, 라스","다크 로스팅을 거친 SO GOOD 블렌드는 구운 아몬드의 깊은 풍미와 카라멜, 흑설탕을 졸인 듯한 매끈하고 진한 단맛이 인상적인 커피입니다. 다크 초콜렛을 한 입 베어문듯한 긴 여운을 커피에서도 느껴보실 수 있습니다.",땡큐로스터스,,
다크 아이보리 블렌드,,2,8,10,,7.0,"브라질, 콜롬비아",기름진 견과류의 느낌과 진하고 어두운 늬앙스의 커피입니다.,180커피로스터스,,
에티오피아 예가체프 게이샤 G1 내추럴,,8,8,6,,2.0,에티오피아,"첫 한모금에 상큼한 포도의 기분좋은 산미와 함께 화이트와인과 같은 깔끔한 느낌에 마지막 입안 가득 남는 꽃향기로 여운 짙은 커피로, 마치 봄날 만개한 벚꽃이 생각나는 기분좋은 산미의 커피입니다. 에티오피아 아리차 농장에서 생산되는 커피 중 가장 품질이 우수한 커피를 선별하여 정말 말 그대로 에티오피아스럽고 산미를 즐기시는 고객들을 위해 세팅하기 좋...",커스프 커피,,
리버벨 블렌드 C,,6,8,6,,5.0,"브라질, 에티오피아","짙은 단맛과, 고소함, 후미의 여운까지 리버벨의 대표 블렌드 입니다.",리버벨,,
Classic Blend,,4,10,8,,6.0,"콜롬비아, 과테말라, 코스타리카",FELT가 생각하는 커피의 클래식입니다. 시대는 바뀌어도 변하지 않는 것이 있습니다. 밀크와 다크 초콜릿을 넘나드는 단맛에 은은한 산미가 더해져 맛이 단조롭지 않습니다. 견과류의 고소함이 입안을 지그시 눌러주는 균형이 좋은 에스프레소 블렌드입니다.,펠트,,
플레이어,,4,8,8,,6.0,"브라질, 콜롬비아, 인도, 에티오피아","밀크초콜릿의 진한 단맛이 특징이예요. 견과류의 고소함, 부드러운 산미가 조화롭게 어우러져요.",스티머스 커피팩토리,,
버터 슬럽 블렌드,,2,8,8,,6.0,"브라질, 과테말라, 인도",버터리한 풍미가 입안에 꽉차는 호불호 없는 갓성비 블랜드,슬러핀 커피,,
썸즈업 블렌드,,2,6,8,,6.0,"과테말라, 브라질, 콜롬비아, 에티오피아","다크 초콜렛의 단맛과 견과류의 고소함, 신맛이 적은 것이 특징으로, 고소한 맛을 한번에 표현하는 블렌딩입니다. 썸즈업의 달콤하고 진한 맛은 어떤 베리에이션으로도 잘 어울립니다.",하우트 커피컴퍼니,,
고소한쌀밥 블렌딩,,2,8,6,,6.0,"브라질, 엘살바도르","고소한 쌀밥은 우리가 매일 먹는 하얀 쌀밥을 모티브로 제작되었습니다. 어떤 음식과도 잘 어울리는 쌀밥처럼 다양한 디저트와 잘 어울리는 커피. 씹을수록 단맛이 올라오는 쌀밥처럼 고소한 향과 맛에 달콤함이 은은하게 표현되는 커피. 브라질 특유의 고소한 맛, 강배전한 워시드의 씁쓸한 맛, 약간의 신맛과 깔끔하게 떨어지는 뒷맛 모든 맛들이 어느 것 하나 ...",원더월 커피 로스터스,,
브라질 시티오 베르젬 그란데 아나에어로빅,,8,8,6,,4.0,브라질,"토피, 다크초콜릿, 딸기 잼의 농후한 단맛이 있는 커피입니다.",보난자커피 코리아,,
몽상스,,8,10,10,,5.0,케냐,달고 부드럽고 바디가 좋은 케냐 커피입니다. 특히 라떼는 정말 맛있습니다.,나무사이로,,
스윗 앤 모어,,4,8,8,,6.0,"에티오피아, 과테말라, 브라질, 콜롬비아","밸런스가 좋고, 자극적이지 않은 클린한 커피라 누구나 무난하게 즐기기 좋은 커피입니다.",토치커피,,
호이스트,,6,8,6,,5.0,"온두라스, 에티오피아, 에티오피아","커피가 가지고 있는 본연의 풍미를 최대한 살리기 위해 미디엄 로스팅 했습니다. 잘 익은 과일의 다채롭고 산뜻한 풍미, 시럽과 같은 촉감을 가진 깨끗한 커피입니다.",폰트커피,,
에티오피아 구지 우라가,,6,4,4,,5.0,에티오피아,"에티오피아 구지 우라가는 구지존의 우라가 지역의 커피로 내츄럴 가공되었습니다. 청포도와 감귤과 같은 산미가 매력적이며, 실키한 느낌의 바디감, 그리고 입안 가득 이어지는 아로마가 특징인 커피입니다.",웨이브온 커피,,
콜롬비아 모틸론,,4,8,8,,6.0,콜롬비아,고소한 견과류의 느낌과 중간정도의 바디감과 밸런스가 좋은 커피입니다. 싱글이지만 머신용으로도 적합합니다.,저스트로스터,,
소소하게 블렌드,,2,6,8,,5.0,"브라질, 베트남",브라질의 고소함과 베트남의 구수함 쓴맛을 최소화하기 위해 강하게 로스팅하지 않았습니다. (Midium Roasting 미디움 로스팅) Ice기준 16~20oz까지 커버되는 수율이 높은 원두 (라떼에 강력 추천합니다.),카페소소한사치,,
블렌드 캔디 그린,,8,6,4,,4.0,"예가체프, 콜롬비아, 과테말라","리프커피의 시그니처 블렌드로 기분 좋은 산미와 달콤함을 느낄 수 있는 블렌드입니다. 꽃과 과일의 향이 풍부한 캔디 그린은 혀에 닿았을때 부드럽게 느껴지는 감귤류의 산미와 뒤에 따라오는 카라멜, 갈색설탕의 감칠나는 단맛의 균형이 매력적입니다. 깔끔한 향과 질감, 오래도록 입안을 맴도는 단맛의 여운은 마치 맛있는 사탕을 입안에 물고있는 것 같은 느낌입니다...",리프커피,,
디카페인 콜롬비아,,6,8,8,,7.0,콜롬비아,강배전이지만 쓰지 않고 부드러운 바디와 밀크초코의 고소함을 느낄 수 있어요. 후미에 은은한 산미가 있어 발란스가 좋은 디카페인 커피입니다.,선빌리지 커피,,
BRICK 블랜드,,2,8,8,,6.0,"콜롬비아, 에티오피아, 브라질","처음에 입에 닿을때 느껴지는, 다크초콜릿의 풍미와 기분 좋게 느낄수 있는 묵직한 바디감 그리고 후미에 올라오는 달달함으로 블랙으로 드셔도, 우유와의 조합으로 드셔도 정말 좋은 블랜드입니다.",컬러드 빈,,
마리모,,2,8,8,,7.0,"브라질, 인도","식물학 커피의 써드 블렌드인 마리모는 다크초콜릿의 단맛과 쌉살한맛, 스모키함이 특징입니다. 단맛과 쌉쌀한 맛이 조화롭게 어우러져 누구나 편하게 마실 수 있습니다. 식물학 커피 로스터스에서 가장 많은 곳에 납품을 하고 있는 블렌드입니다. 그 만큼 많은 분들이 좋아하고, 대중적인 커피입니다.",식물학 커피로스터스,,
니카라과 라스 쿰브레스 워시드,,4,10,8,,6.0,니카라과,달콤한 황설탕과 초콜릿과 더불어 오렌지와 복숭아의 산미가 살짝 느껴지는 좋은 벨런스의 커피입니다. 호불호 없는 데일리한 커피입니다.,카페플롬,,
스페셜티 블렌드,,8,8,4,,5.0,"에티오피아, 에티오피아",달달한 복숭아와 오렌지가 연상됩니다 은은한 꽃향기의 여운이 느껴집니다,리밀커피,,
Nube Gris 누베그리스,,4,8,8,,6.0,"Brazil, Colombia, Guatemala, Ethiopia",부드러운 질감이 마치 구름같아요. 고소하고 깔끔해 데일리로 즐길 수 있어요.,클라리멘토,,
나이트폴 블렌드,,8,8,4,,5.0,"에티오피아, 에티오피아","""Nightfall"" 블렌드는 해질녘에 인적 드문 해안가로 나와 노을이 만드는 다채로운 색감의 바다를 바라보는 것 같습니다. 노을빛 같은 다채로운 과일의 향미와 조용히 다가오는 달달한 여운이 아쉬웠던 하루의 소소한 여유를 선물합니다.",간결 커피 로스터스,,
콜롬비아 디카페인,,2,8,8,,6.0,콜롬비아,블랙티의 향과 함께 들어오는 스카치캔디의 달콤함을 느낄 수 있습니다.,뉴웨이브 커피로스터스,,
콜롬비아 디카페인,,6,8,6,,6.0,콜롬비아,사과잼과 탠저린의 향긋함과 부드러운 화이트 초콜릿의 풍미,프레이저 커피,,
헬로 다크니스,,2,8,10,,7.0,"과테말라, 브라질, 인도","다크 초콜릿같은 달콤, 쌉싸름한 맛에 묵직한 바디가 특징입니다.",커피 앰비언스,,
잘자요 디카페인,,2,6,8,,7.0,브라질,아직도 맛없는 디카페인 커피를 드시나요? 맛있는 디카페인 커피입니다! 다크초콜릿의 풍미와 묵직한 바디감을 느껴보세요. * 강배전된 디카페인 특성상 오일이 많이 발생합니다.,오프사이트,,
젠틀레인 디카페인,,4,8,8,,6.0,"브라질, 에티오피아",깔끔하며 부드러운 단맛이 좋은 디카페인 커피입니다.,브니엘 커피로스터스,,
르네테르 블렌드,,4,8,6,,5.0,"과테말라, 온두라스, 코스타리카","달콤하고 우유와 만났을때 맛, 농도 그리고 촉감이 배가 되는 블렌드 입니다.",싸인포스트커피,,
#55-scale,,4,8,8,,6.0,"과테말라, 콜롬비아, 브라질",메이플 시럽과 고소한 맛이 느껴져요. 산미가 은은해요. 바디감까지 균형감이 좋은 커피입니다.,인더매스,,
매뉴얼,,4,8,8,,6.0,"브라질, 에티오피아, 인도네시아, 과테말라","아메리카노, 라떼 모두 잘 어울리는 블렌딩입니다. 부드럽고 은은하게 올라오는 산미와 밀크 초콜릿, 그리고 고소함을 입안에 풍부하게 안겨줍니다.",그럼블 커피로스터스,,
콜린,,4,8,8,,6.0,"인도, 콜롬비아, 코스타리카","잘 익은 체리의 농후한 단맛과 고소한 아몬드 캐러멜이 입안 가득 남는 끝 맛을 느낄 수 있어요. 블렌딩에 최적화된 좋은 생두를 선별하고, 일관성 있고 논리적인 로스팅을 추구합니다. 결점두를 직접 선별하여 패키징 하는 등 최상의 품질을 위해 노력합니다.",영앤도터스,,
더블 캐스트,,8,6,4,,4.0,"에티오피아, 에티오피아","오렌지의 기분 좋은 산미와 부드러운 단맛, 달콤한 꿀의 향기가 느껴져요.",크래커스 커피 로스터스,,
Hammock (해먹),,2,8,8,,5.0,"브라질, 과테말라","견과류,곡물의 고소함과 길게 이어지는 단맛 후미에 남는 코코아의 달콤함 라떼, 아메리카노 둘다 잘 어울리는 원두",UFO 커피로스터스,,
그레이 블렌드,,4,6,8,,6.0,"과테말라, 브라질, 콜롬비아",견과류의 고소함과 초콜릿의 단맛,레인디어,,
시그니처 블랜드 타이틀드,,6,10,6,,5.0,"과테말라, 탄자니아, 인도네시아",다크 초콜릿의 단맛과 깊고 묵직한 바디감이 느껴지는 블렌드 원두 입니다.,라운지엑스,,
일랑일랑 블렌드,,8,8,6,,4.0,"코스타리카, 에티오피아",과일 티를 마시는 듯 한 상큼하고 깔끔한 단맛 꽃 향의 여운이 길게 남는 커피,어나더룸,,
에티오피아 반코 고티티 G1 워시드,,8,6,4,,2.0,에티오피아,레몬 캔디처럼 새콤 달콤한 맛. 코 끝에 은은하게 남는 홍차의 뉘앙스가 좋아요.,한국커피,,
브라운 블렌딩 커피,,2,10,10,,6.0,"콜롬비아, 브라질, 과테말라",산미가 거의 없는 진한 다크초콜릿 음료같아요. 풍부한 바다김과 적당한 쌉쌀함이 잘 어울려요.,링크 커피 로스터스,,
이븐 블렌드,,2,6,8,,6.0,"과테말라, 에티오피아, 콜롬비아, 브라질",고소한 견과류와 묵직한 초콜릿 단맛이 느껴지는 커피로 여운이 길고 밸런스가 좋아요.,오드이븐,,
돌담in애월,,4,10,10,,6.0,"브라질, 콜롬비아, 과테말라, 르완다","매서운 제주의 바닷바람을 묵묵히 막아주는 돌담의 모습을 형상화하였습니다. 고소하고 바디감 좋은 중남미 원두들에 르완다 이심비를 추가하여, 다크초콜렛과 흑설탕의 기분 좋은 단맛과 긴 여운을 주는 바디감, 치우침 없는 균형감을 추구합니다.",하늘에커피,,
알렉세이션,,6,8,6,,5.0,"에티오피아, 과테말라","은은한 향미와 최대한의 단맛이 끌어올려진 에티오피아 원두와 아몬드계열의 고소함,묵직한 바디,깨끗함을 느낄수 있는 과테말라 원두가 조화롭게 섞인 균형감 있는 커피입니다.",알렉스더커피,,
77도 블렌드,,2,8,8,,6.0,"과테말라, 브라질, 인도네시아","77도 블랜드를 마셨을 때 입안에 감기는 바디감이 훌륭하며 분쇄 하였을 때 고소한 견과류나 기름진 베이컨의 향미가 일품입니다. 커피를 마시고 느끼는 애프터는 고소함으로 입안을 가득 채우며, 끝에 쓴맛보다 고소함이 남아 기분이 좋아지는 커피입니다.",55도 커피로스터스,,
포스트업,,2,10,10,,7.0,"브라질, 과테말라",초콜릿처럼 견고하고 묵직한 단맛과 쌉싸름함을 중심으로 약간의 산미가 조화를 이루어 안정적이고 좋은 여운을 느낄 수 있습니다.,히떼 로스터리,,
에티오피아 리무 볼렌소,,6,10,10,,6.0,에티오피아,"내추럴 프로세싱 특유의 건포도 향미가 선명히 느껴지며, 좋은 클린컵의 부드러운 산미는 오렌지의 향미로 느껴집니다. 부드러운 질감과 묵직한 초콜릿의 단맛이 긴 여운을 남기는 복합적인 향미와 단맛의 여운이 좋은 커피입니다.",베르크 로스터스,,
문래 블렌드,,2,10,10,,6.0,"에티오피아, 브라질","문래블렌드는 밀크 베리에이션 블렌드로, 우유와 특히 잘 어울리는 라떼 전용 블렌드 커피입니다. 견과류의 고소함과 딸기의 향긋함이 더해진 산뜻함이 특징입니다.",보사노바 커피로스터스,,
공단향 블렌드,,4,10,8,,7.0,"콜롬비아, 에티오피아, 케냐","“502커피로스터스는 2009년 가산디지털단지에서 시작되었습니다” 지금은 IT산업의 메카인 가산디지털단지, 구로디지털단지가 ‘구로공단’으로 명명되던 힘든 시절이 있었습니다. 구로공단은 노동집약적 섬유, 봉제업체가 주를 이룬 국가 주도 하의 수출산업단지였습니다. 근로자들은 시골에서 상경한 젊은이들로 가난에 밀려 서둘러 가장이 된 우리의 어린 누이와 ...",502 커피로스터스,,
BACS 다크 블렌드,,4,6,8,,7.0,"에티오피아, 콜롬비아, 과테말라","과테말라, 콜롬비아, 에티오피아를 배합한 박스프레소의 기본 블렌드 커피입니다. 강하지 않은 산미와 묵직한 바디감, 깔끔한 뒷맛과 기분 좋은 애프터테이스트를 가졌습니다. BACS에서 제공하는 가장 대중적인 블렌드 중 하나입니다.",BACS,,
어느푸른저녁,,6,8,6,,5.0,"에티오피아, 콜롬비아, 에티오피아, 콜롬비아",베리류의 산미와 다크 초콜릿과 흑설탕의 단맛을 느낄 수 있습니다. 다양한 향미를 가졌으며 깨끗한 목 넘김과 긴 여운을 느낄 수 있어요.,애크로매틱 커피 컴퍼니,,
반달 베어 블랜딩,,2,10,10,,6.0,콜롬비아,밀크 초코렛 맛을 가진 시럽과 소스에 가장 잘 어울리는 고소하고 묵직한 블랜딩 원두 입니다.,커피볶는곰,,
트로피칼 플라워 게이샤 무산소,,8,8,6,,2.0,콜롬비아,이국적인 꽃들과 열대과일의 맛들이 특별함을 선사합니다.,수수커피,,
릴렉스 블렌드,,2,10,8,,5.0,"Santa, Supremo, SHB","포도와 초콜릿의 맛이 입 안을 채우고, 다 마시고 나면 입 안에 비스킷같은 고소함이 남습니다. 누가 마셔도 편안하고 즐길 수 있는 블렌드입니다.",헬퍼 스튜디오,,
라까프 에스프레소 블렌드,,6,8,8,,6.0,"Phu, Ngoc, Vuong",크랜베리 피칸파이의 풍미와 크리미한 다크초콜릿의 향미가 층층이 쌓인 듯한 느낌의 에스프레스용 블렌드입니다. 화이트 커피로 즐기시면 견과류의 맛이 더욱 부각됩니다.,라까프,,
밀밭,,8,8,8,,4.0,"YUNNAN, ETHIOPIA, COLOMBIA, KENYA","시트러스 과일의 맛과 말린 대추의 달달함, 부드럽고 크리미한 질감. 깔끔한 뒷맛의 여운을 남게 합니다.",오이르 로스터스,,
올드스쿨(Old School),,4,10,8,,7.0,"Ethiopia, India, Brazil","설탕 두 스푼과 함께 한 에스프레소는 어린시절, 학교 앞 노점상에서 노릇하게 구워지던 달고나를 떠오르게 합니다. 달콤쌉싸름한 휴식이 필요하다면 ‘올드스쿨’과 함께 하세요. Oldies but Goodies!",그린마일커피,,
포트리스 블렌드,,4,8,8,,6.0,"브라질, 콜롬비아","농밀하고도 묵직한 맛이 인상적이며 구운견과의 늬앙스, 고소하고 쌉싸름한 다크초콜릿의 진득한 풍미가 처음부터 끝까지 유지되는 단순함이 특징입니다. 수원 화성 안을 거니는 휴식의 순간처럼 온전한 쉼의 기분을 선사하는 커피입니다.",노스모크위드아웃파이어,,
블렌드 슈퍼 노멀,,4,10,8,,6.0,"콜롬비아, 인도네시아, 브라질",묵직하되 그 묵직함이 과하지 않고 선명한 단맛을 지녔습니다. 다크한 초콜릿 맛과 미미한 산미가 좋은 밸런스를 느끼게 합니다. 데일리 커피로서 역할을 잘 해내리라 자부합니다.,프로토콜 로스터스,,
콜롬비아 수프리모 SW 디카프,,4,6,4,,5.0,콜롬비아,비스킷 같은 고소하고 달콤한 향에 부담스럽지 않은 산미가 부드럽게 퍼집니다.,디카프워크룸,,
하드워커,,4,8,6,,6.0,"브라질, 과테말라, 콜롬비아",열심히 하루를 살아가는 우리에게 달콤 쌉싸름한 커피 한잔은 큰 힘이 되죠 바쁜 일상 속 그 사이의 작은휴식 하루를 버틸 수 있는 원동력을 주는 한 잔이 될꺼에요!,차군커피로스터스,,
그 해 겨울,,6,10,8,,5.0,"코스타리카, 과테말라, 에티오피아","은은한 산미, 헤이즐넛, 초콜릿의 단맛 등 복합적인 향과 좋은 밸런스를 지닌 커피입니다.",안녕 가비 커피로스터스,,
이탈리안잡 블렌드,,4,8,8,,6.0,"콜롬비아, 엘살바도르",이태리 북부스타일 에스프레소에 대한 오마주로 달콤 쌉싸름한 맛입니다.,엘 카페 커피로스터스,,
도화 블렌드,,6,8,8,,5.0,"콜롬비아, 에티오피아, 과테말라",다크초콜릿 속에 말린 과일의 진한 단맛과 은은한 꽃향기가 남습니다. 레드와인을 닮아 밸런스가 좋아요.,도화아파트먼트,,
레스벗베러,,2,10,8,,7.0,"과테말라, 콜롬비아, 브라질","블렌드명처럼 단순하고, 심플하지만 우리에게 가장 익숙한 대중적인 맛을 추구하고 있습니다. 중남미 생두로 구성해 고소하며 카라멜 단맛이 느껴지고, 다크 초콜릿의 묵직한 바디감이 느껴져요.",베러로스팅랩,,
Blend N.4,,2,8,8,,7.0,"브라질, 과테말라, 인도네시아",구운 너트류의 고소함과 깊은 바디감을 가진 커피. 다크초코렛의 후미까지 느낄 수 있는 단맛 중심의 블렌드 입니다.,스탠딩커피,,
